Date,Product Name,Section,Plant,Fruit vertical length,Fruit horizontal length,Fruit weight,Hardness,Sweetness,Acidity,Color L,Color a,Color b,Remarks,Color_L,Color_a,Color_b
6/24/2024,메리퀸,2,3,38.53,28.75,10.98,,16.1,0.75,43.82,44.52,27.21,과숙,,,
6/24/2024,메리퀸,3,1,42.76,32.61,15.72,210.0,11.8,0.63,44.53,44.1,29.74,,,,
6/24/2024,메리퀸,4,1,,,7.29,,,,45.9,41.28,28.51,,,,
6/24/2024,메리퀸,4,2,,,5.22,,,,44.62,44.71,29.35,,,,
6/24/2024,메리퀸,4,3,,,3.63,,,,,,,,,,
6/24/2024,메리퀸,4,4,,,2.91,,,,,,,,,,
6/24/2024,메리퀸,5,3,35.03,24.38,8.29,187.0,10.2,0.63,47.33,41.26,30.43,,,,
6/24/2024,죽향(실온),1,1,41.98,29.33,16.58,213.0,12.0,0.67,41.74,36.99,25.64,,,,
6/24/2024,죽향(실온),3,1,46.1,36.64,24.07,151.0,12.5,0.56,37.31,38.17,20.53,,,,
6/24/2024,죽향(실온),4,1,48.75,35.17,24.01,201.0,12.2,0.53,42.31,40.68,27.93,,,,
6/24/2024,죽향(실온),4,2,39.76,29.43,14.72,216.0,11.4,0.55,39.15,36.88,22.12,,,,
6/24/2024,죽향(실온),5,1,45.54,36.18,24.31,,13.2,0.5,43.2,42.64,27.42,,,,
6/24/2024,죽향(실온),5,2,36.24,34.39,16.79,221.0,10.9,0.63,38.84,39.51,22.89,,,,
6/24/2024,죽향(실온),5,3,34.66,30.1,12.51,240.0,14.2,0.5,40.51,40.11,25.19,,,,
7/1/2024,메리퀸,2,5,26.48,20.99,5.09,,,,,,,,,,
7/1/2024,메리퀸,2,6,,,2.52,,,,,,,,,,
7/1/2024,메리퀸,3,2,41.8,29.45,13.41,164.0,13.7,0.62,43.26,41.66,26.54,,,,
7/1/2024,메리퀸,3,3,34.42,27.8,9.97,157.0,10.4,0.5,44.73,41.61,28.26,,,,
7/1/2024,메리퀸,3,4,34.56,26.93,9.98,205.0,10.3,0.62,46.61,41.67,30.33,,,,
7/1/2024,메리퀸,4,4,,,4.14,,,,,,,,,,
7/1/2024,메리퀸,4,5,,,2.66,,,,,,,,,,
7/1/2024,메리퀸,5,4,,,5.71,,,,,,,,,,
7/1/2024,죽향(실온),3,3,42.71,33.43,17.04,142.0,11.8,0.51,41.52,40.64,26.35,,,,
7/1/2024,죽향(실온),4,4,39.13,28.26,13.43,157.0,11.6,0.68,38.2,40.71,21.87,,,,
7/1/2024,죽향(실온),4,5,38.42,28.51,12.73,165.0,11.6,0.7,39.19,40.65,24.48,,,,
7/1/2024,죽향(실온),5,4,31.12,24.95,7.88,,,,,,,,,,
7/1/2024,죽향(저장),2,1,50.63,33.16,22.59,116.0,12.8,0.53,44.17,40.85,25.68,,,,
7/1/2024,죽향(저장),3,1,49.24,37.33,25.83,137.0,14.4,0.53,47.66,36.58,26.8,,,,
7/1/2024,죽향(저장),3,2,46.42,33.88,21.34,177.0,12.9,0.57,40.97,37.76,23.17,,,,
7/1/2024,죽향(저장),4,1,47.76,34.39,24.3,231.0,12.4,0.7,41.47,40.59,24.87,,,,
7/1/2024,죽향(저장),5,1,46.28,33.63,21.23,210.0,11.9,0.63,37.02,34.06,19.99,,,,
7/10/2024,메리퀸,1,1,53.24,38.92,30.22,,13.1,0.48,,,,,,,
7/10/2024,메리퀸,1,2,46.29,32.73,21.07,,12.5,0.63,,,,,,,
7/10/2024,메리퀸,1,3,39.72,30.54,27.25,,10.2,0.61,,,,,,,
7/10/2024,메리퀸,3,5,37.24,23.79,9.18,,17.4,0.83,,,,,,,
7/10/2024,메리퀸,3,6,24.61,21.6,5.66,,,,,,,,,,
7/10/2024,메리퀸,3,7,22.17,20.98,4.43,,,,,,,,,,
7/10/2024,메리퀸,4,1,40.08,33.21,18.18,,14.2,0.71,,,,,,,
7/10/2024,메리퀸,4,2,38.94,26.94,13.08,,12.9,0.67,,,,,,,
7/10/2024,메리퀸,5,6,31.21,19.07,6.54,,,,,,,,,,
7/10/2024,메리퀸,5,7,23.6,19.02,5.12,,,,,,,,,,
7/10/2024,죽향(실온),1,2,38.88,30.07,13.8,,,,,,,,,,
7/10/2024,죽향(실온),1,3,35.26,23.51,9.29,,12.2,0.8,,,,,,,
7/10/2024,죽향(실온),1,4,34.2,24.4,9.43,,11.5,0.74,,,,,,,
7/10/2024,죽향(실온),1,5,32.81,24.92,8.67,,,,,,,,,,
7/10/2024,죽향(실온),1,6,32.21,22.62,8.3,,,,,,,,,,
7/10/2024,죽향(실온),2,2,43.49,34.52,18.43,,14.8,,,,,,,,
7/10/2024,죽향(실온),2,3,42.97,33.77,19.1,,12.4,0.65,,,,,,,
7/10/2024,죽향(실온),2,4,37.23,29.59,13.79,,10.5,0.8,,,,,,,
7/10/2024,죽향(실온),2,5,36.61,26.97,11.93,,9.8,0.73,,,,,,,
7/10/2024,죽향(실온),3,4,41.9,32.07,13.04,,17.6,0.85,,,,,,,
7/10/2024,죽향(실온),3,5,42.24,30.62,14.3,,14.1,0.66,,,,,,,
7/10/2024,죽향(실온),3,6,39.93,21.79,13.45,,13.9,0.7,,,,,,,
7/10/2024,죽향(실온),3,7,35.4,27.33,10.92,,11.4,0.7,,,,,,,
7/10/2024,죽향(실온),4,6,37.0,27.18,11.04,,14.3,0.72,,,,,,,
7/10/2024,죽향(실온),4,7,34.48,26.85,10.16,,12.2,0.85,,,,,,,
7/10/2024,죽향(실온),5,5,31.25,26.49,8.1,,,,,,,,,,
7/10/2024,죽향(실온),5,6,31.36,23.63,7.18,,,,,,,,,,
7/10/2024,죽향(저장),1,1,44.93,31.99,22.08,,13.9,0.61,,,,,,,
7/10/2024,죽향(저장),1,2,38.75,32.07,15.22,,11.3,0.78,,,,,,,
7/10/2024,죽향(저장),2,3,38.76,30.97,15.97,,14.1,0.61,,,,,,,
7/10/2024,죽향(저장),2,4,32.64,24.1,9.59,,11.3,0.8,,,,,,,
7/10/2024,죽향(저장),2,5,34.09,25.41,9.93,,,,,,,,,,
7/10/2024,죽향(저장),3,3,45.9,33.86,20.7,,12.0,0.52,,,,,,,
7/10/2024,죽향(저장),3,4,46.14,29.87,17.65,,12.3,0.68,,,,,,,
7/10/2024,죽향(저장),3,5,40.03,30.56,15.47,,11.5,0.73,,,,,,,
7/10/2024,죽향(저장),4,2,45.36,33.83,22.72,,14.0,,,,,,,,
7/10/2024,죽향(저장),4,3,38.22,25.08,12.85,,10.8,0.8,,,,,,,
7/10/2024,죽향(저장),5,2,46.07,28.9,17.71,,12.2,0.7,,,,,,,
7/15/2024,메리퀸,1,4,37.36,29.68,14.57,170.2,10.8,0.56,45.66,44.67,30.79,,,,
7/15/2024,메리퀸,1,5,32.67,24.93,10.09,121.0,10.5,0.57,45.98,43.42,30.06,,,,
7/15/2024,메리퀸,4,3,33.34,25.58,11.31,,12.0,0.59,46.74,43.8,31.13,2출뢰,,,
7/15/2024,메리퀸,4,4,36.87,27.57,11.7,206.0,11.2,0.48,46.52,45.59,31.25,,,,
7/15/2024,죽향실온,2,6,37.67,29.17,13.94,,11.9,0.61,40.97,38.57,24.65,,,,
7/15/2024,죽향실온,5,1,38.84,32.58,18.1,176.8,12.5,0.66,40.68,41.35,26.41,2출뢰,,,
7/15/2024,죽향실온,5,6,21.14,16.81,3.64,,,,44.8,42.99,29.49,,,,
